"NR.CRT","Capitol","Subcapitol","Situația Clinică","Tip","Examen","Indicație","Grad Indicație","Comentarii","Alte informații","Doza Min","Doza Max"
88,"Pediatrie","Sistem nervos central","Boli congenitale (cerebrale şi spinale)","T","CT","Doar cu aviz specializat","C","CT poate fi folosit pentru planning-ul chirurgical",,2,2
89,"Pediatrie","Sistem nervos central","Cefalee","M","IRM","Doar cu aviz specializat","B","Dacă simptomele persistă sau sunt asociate cu semne clinice neurologice, trebuie efectuate examene specializate. La copil, trebuie preferat IRM-ul datorită faptului că este noniradiant.",,0,0
90,"Pediatrie","Sistem nervos central","Cefalee","T","CT","Doar cu aviz specializat","B","Dacă simptomele persistă sau sunt asociate cu semne clinice neurologice, trebuie efectuate examene specializate. La copil, trebuie preferat IRM-ul datorită faptului că este noniradiant.",,2,2
91,"Pediatrie","Sistem nervos central","Cefalee","G","Rg standard (craniană)","Neindicat","B","Radiografia craniană nu are contribuţie. Diagnosticul de sinuzită este clinic.",,1,1
92,"Pediatrie","Sistem nervos central","Convulsii febrile sau de alte cauze cunoscute","M","IRM","Neindicat","C","Examinarea IRM nu este necesara pentru un prim episod de convulsii febrile tipice.",,0,0
93,"Pediatrie","Sistem nervos central","Convulsii febrile sau de alte cauze cunoscute","T","CT","Neindicat","B","Examinarea CT nu contribuie la diagnostic",,2,2
94,"Pediatrie","Sistem nervos central","Epilepsie","M","IRM","Doar cu aviz specializat","A","În cazul unui prim episod de convulsii, nu este necesară nici o investigaţie imagistică. IRM-ul este luat în discuţie după examenul clinic specializat şi EEG.",,0,0
95,"Pediatrie","Sistem nervos central","Epilepsie","N","PET-CT","Doar cu aviz specializat","B","PET cu 18FDG efectuat în perioadele intercritice poate permite localizarea focarului epileptogen înaintea unei intervenţii chirurgicale.",,2,3
96,"Pediatrie","Sistem nervos central","Epilepsie","N","SPECT-CT (99Tc- HMPAO)","Doar cu aviz specializat","B","SPECT (tomoscintigrafia) în perioadele critice sau intercritice poate permite localizarea focarului epileptogen. SPECT trebuie asociat cu o înregistrare EEG.",,2,3
97,"Pediatrie","Sistem nervos central","Epilepsie","T","CT","Doar cu aviz specializat","B","A se utiliza în context de urgenţă (stare generală alterată, rău convulsiv, traumatism secundar) sau în situațiile cand IRM este indicat dar nu este disponibil. În cazul unui prim episod de convulsii, nu este necesară nicio investigaţie imagistică. IRM-ul este luat în discuţie după examenul clinic specializat şi EEG.",,2,2
98,"Pediatrie","Sistem nervos central","Epilepsie","G","Rg standard (craniană)","Neindicat","B","Radiografia craniană nu contribuie la diagnostic.",,1,1
99,"Pediatrie","Sistem nervos central","Hidrocefalie Disfuncţie de şunt (v. și capitolul Cap – subcapitolul Neuro)","E","Ecografie","Indicat","B","Ecografie transfontanelară sau dacă este posibil, IRM-ul la un copil mai mare (sau CT dacă nu se poate efectua un examen IRM)","Pentru diagnosticul inițial sau pentru monitorizare este suficientă ecografia -cât timp fontanela este deschisă. IRM este necesar după închiderea fontanelei și poate fi util în bilanțul preoperator (CT poate fi o alternativă).",0,0
100,"Pediatrie","Sistem nervos central","Hidrocefalie Disfuncţie de şunt (v. și capitolul Cap – subcapitolul Neuro)","G","Radiografie cranio-toraco-abdominala","Indicat","B","Radiografia trebuie să includă întregul sistem de derivaţie ventriculară cu scopul de a căuta o deconectare a tubulaturii.","Pentru diagnosticul inițial sau pentru monitorizare este suficientă ecografia -cât timp fontanela este deschisă. IRM este necesar după închiderea fontanelei și poate fi util în bilanțul preoperator (CT poate fi o alternativă).",1,1
101,"Pediatrie","Sistem nervos central","Hidrocefalie Disfuncţie de şunt (v. și capitolul Cap – subcapitolul Neuro)","M","IRM","Indicat","B","IRM-ul la un copil mai mare, la care ecografia nu mai este posibilă (sau CT dacă nu se poate efectua un examen IRM)","Pentru diagnosticul inițial sau pentru monitorizare este suficientă ecografia -cât timp fontanela este deschisă. IRM este necesar după închiderea fontanelei și poate fi util în bilanțul preoperator (CT poate fi o alternativă).",0,0
102,"Pediatrie","Sistem nervos central","Hidrocefalie Disfuncţie de şunt (v. și capitolul Cap – subcapitolul Neuro)","T","CT","Doar cu aviz specializat","C","A se utiliza în context de urgenţă sau situaţie clinică neobişnuită, când IRM nu este disponibil, mai rar pentu monitorizare.","Pentru diagnosticul inițial sau pentru monitorizare este suficientă ecografia -cât timp fontanela este deschisă. IRM este necesar după închiderea fontanelei și poate fi util în bilanțul preoperator (CT poate fi o alternativă).",2,2
103,"Pediatrie","Sistem nervos central","Retard mental Infirmitate motrică cerebrală","M","IRM","Doar cu aviz specializat","C","IRM-ul este una dintre modalităţile posibile de investigare etiologică. Are o contribuţie mai mare după vârsta de doi ani. Nu este indicat în cazul în care boala cauzală este dovedită.",,0,0
104,"Pediatrie","Sistem nervos central","Retard mental Infirmitate motrică cerebrală","T","CT","Doar cu aviz specializat","C","CT este recomandat doar în cazul în care nu se poate efectua examen IRM",,2,2
105,"Pediatrie","Sistem nervos central","Sinuzită","T","CT","Doar în cazuri particulare","C","CT-ul cu doză mică este indicat in caz de simptomatologie trenantă sau al unei prezentări clinice neobişnuite. Suspiciunea de etmoidită justifică o evaluare CT în urgenţă. De asemenea examinarea CT este utilă în planning-ul preoperator.","IRM trebuie evaluat ca alternativă posibilă, neiradiantă (vizualizează mai bine conținutul cavităților dar nu obiectivează pereții osoși).",2,2
106,"Pediatrie","Sistem nervos central","Sinuzită","G","Rg sinusuri","Neindicat","B","Radiografia de sinusuri nu este indicată la copii, mai mult, înaintea vârstei de 5 ani  sinusurile sunt prea puţin dezvoltate.",,1,1
107,"Pediatrie","Sistem nervos central","Surditate infantilă","M","IRM","Doar cu aviz specializat","C","Poate fi necesar la copilul cu surditate congenitală sau postinfecţioasă, în bilanţul preimplant.",,0,0
108,"Pediatrie","Sistem nervos central","Surditate infantilă","T","CT","Doar cu aviz specializat","C","Examentul CT este necesar: la copilul cu surditate congenitală sau postinfecţioasă în bilanţul preimplant şi pentru controlul postimplant; în urgenţă în surdiatea posttraumatică sau postmeningită bacteriană.",,2,2
109,"Pediatrie","Sistem nervos central","Traumatism cranio-cerebral la copil (pentru traumatisme non-accidentale / maltratare – vezi subcapitolul Pediatrie-Apatrat locomotor: Traumatism nonaccidental)","E","Ecografie transfontanelară","Doar în cazuri particulare","C","Ecografia transfontanelară poate să nu identifice hematoame pericerebrale (sub- sau extradurale) sau contuzii parenchimatoase, adesea periferice în acest context.","Ecografia transfontanelară nu este suficientă pentru a exclude o leziune. In cazurile cu modificări neurologice, ecografia poate constitui o etapă intermediară și eventual suficientă pentru aprecierea gravității, inaintea CT.",0,0
110,"Pediatrie","Sistem nervos central","Traumatism cranio-cerebral la copil (pentru traumatisme non-accidentale / maltratare – vezi subcapitolul Pediatrie-Apatrat locomotor: Traumatism nonaccidental)","M","IRM cranian","Doar în cazuri particulare","B","IRM poate fi indicat secundar, în caz de agravare clinică cu discordanță față de CT (pentru identificarea leziunilor axonale difuze) sau pentru precizarea prognosticului. IRM este indicat la copii cu vârsta sub 2 ani în caz de suspiciune de traumatism neaccidental.",,0,0
111,"Pediatrie","Sistem nervos central","Traumatism cranio-cerebral la copil (pentru traumatisme non-accidentale / maltratare – vezi subcapitolul Pediatrie-Apatrat locomotor: Traumatism nonaccidental)","T","CT","Doar cu aviz specializat","B","La copil, leziunile la nivelul capului sunt relativ frecvente. În majoritatea cazurilor nu sunt grave, fără a se impune investigarea imagistică sau spitalizarea. Dacă  au existat pierdere a stării de conştienţă, semne sau simptome neurologice (altele decât un simplu episod de vomă) sau dacă anamneza este insuficientă sau incoerentă, investigaţia imagistică este indispensabilă (CT). ","CT-ul cerebral este indicat dacă *: - scor Glasgow <15; pierderi ale stării de conştienţă, somnolenţă; fractură de craniu (cu înfundare, fractură de bază de craniu sau diastatică); fontanelă bombată; semne neurologice de focar.
CT-ul cerebral poate fi indicat în anumite cazuri **: - mecanism accident rutier (pieton, biciclist sau pasager auto cu viteză mare), cădere de la >0.9 m, lovire de/cu un obiect contondent cu impact puternic; suspiciune de traumatism non-accidental; pierderea stării de conştienţă mai mult de 5 secunde, amnezie >5 minute, modificări de comportament (anamnestic), cefalee severă sau agravată; vărsături repetate (>3) sau după interval liber; echimoză/edem sau plagă >5 cm (vârstă sub 1 an); hematom epicranian (exceptând frontal); convulsii postraumatice; coagulopatii
* în caz de traumatism sever (GSC<9), se explorează şi joncţiunea cranio-cervicală până la nivel C3
** urmărirea clinică este o alternativă la evaluarea CT de primă intenţie, reducând la jumătate necesarul de examinări CT, implicit iradierea.
                                                                                                                                    ",2,2
112,"Pediatrie","Sistem nervos central","Traumatism cranio-cerebral la copil (pentru traumatisme non-accidentale / maltratare – vezi subcapitolul Pediatrie-Apatrat locomotor: Traumatism nonaccidental)","G","Radiografie de craniu","Neindicat","B","Radiografia de craniu este indicată exclusiv în contextul unei suspiciuni de traumatism neaccidental.",,1,1
113,"Pediatrie","Sistem nervos central","Tumori – vezi Capitolul-Subcapitolul: Cancer-Tumori cerebrale și medulare","Z","Refaceti selectia: Cancer - Tumori cerebrale si medulare!","Vezi Detalii Ghid!",,"Vezi Capitolul-Subcapitolul: Cancer-Tumori cerebrale și medulare",,,
114,"Pediatrie","Sistem nervos central","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
115,"Pediatrie","Torace, pulmon, cord","Dispnee expiratorie, Astm","G","Rg toracică","Doar în cazuri particulare","B","Dacă o radiografie efectuată în perioada intercritică se dovedeşte normală, repetarea acesteia nu este utilă, cu excepţia cazului în care pacientul are febră, hipoxie sau dispnee brutală neexplicată (cauza poate fi inhalarea unui corp străin).",,1,1
116,"Pediatrie","Torace, pulmon, cord","Infecţie respiratorie acută joasă (febrila)","G","Rg toracică (pulmonară)","Doar în cazuri particulare","A","Radiografiile toracice sunt indicate doar în cazul simptomelor persistente/agravate sub tratament şi a formelor grave din momentul debutului. Trebuie recomandată efectuarea unei radiografii toracice în caz de febră de origine necunoscută, copiii putând dezvolta pneumonii fără semne toracice. Dacă radiografia toracică arată o pneumonie simplă şi evoluţia este favorabilă, nu mai este necesară reevaluarea radiologică.","In infectiile de căi respiratorii superioare (afebrile), rg. este Neindicată",1,1
117,"Pediatrie","Torace, pulmon, cord","Inhalare de corp străin (suspiciune)","G","Rg toracică","Indicat","B","Radiografia toracică este indicată, dar frecvent este normală. Dacă există o suspiciune clinică importantă de aspiraţie de corpi străini, bronhoscopia este obligatorie. ",,1,1
118,"Pediatrie","Torace, pulmon, cord","Inhalare de corp străin (suspiciune)","T","CT","Doar în cazuri particulare","B","CT-ul este indicat doar în cazuri particulare, când suspiciunea clinică de aspiraţie este redusă şi radiografia este neconcludentă la un pacient simptomatic. ",,2,2
119,"Pediatrie","Torace, pulmon, cord","Pleurezie","E","Ecografie","Indicat","B","Ecografia poate confirma prezenţa ueni pleurezii în cantitate mică precum şi a aspectului sau cloazonat. De asemeanea, ajută la abordarea terapeutică şi poate ghida o eventuală puncţie.",,0,0
120,"Pediatrie","Torace, pulmon, cord","Pleurezie","G","Rg toracică","Indicat","C","Radiografia toracică în ortostatism poate depista pleurezia.",,1,1
121,"Pediatrie","Torace, pulmon, cord","Pleurezie","T","CT","Doar cu aviz specializat","C","CT-ul toracic este util în evaluarea parenchimului pulmonar după evacuarea unei pleurezii în cantitate mare. CT-ul toracic identifică empiemul.",,2,2
122,"Pediatrie","Torace, pulmon, cord","Stridor acut","G","Rg cervicala - profil si toracica - fata","Doar cu aviz specializat","B","Radiografia nu este utilă decât în cazul unei suspiciuni de corp străin sau de abces retrofaringian.",,1,1
123,"Pediatrie","Torace, pulmon, cord","Suflu cardiac","G","Rg toracică","Doar cu aviz specializat","C","Radiografia de torace este rareori utilă unui copil asimtomatic cu suflu cardiac (poate ajuta la diferenţierea unei boli cu substrat cardiac de una non-cardiacă)  ","In funcție de contextul clinic, este în general indicată ecocardiografia. Rg. poate aduce informații suplimentare (în particular despre circulația pulmonară).",1,1
124,"Pediatrie","Torace, pulmon, cord","Tuse cronică","G","Rg toracică (pulmonară)","Indicat","C","Dacă este efectuată o primă radiografie toracică, repetarea nu este utilă decât în caz de atelectazie. În faţa unei atelectazii rebele trebuie luată în discuţie efectuarea unei endoscopii bronşice. Suspiciunea de mucoviscidoză necesită specificare şi orientare spre un specialist. ","Tusea prelungită după o infecție de căi respiratorii (2-4 săptămâni) nu trebuie diagnosticată drept tuse cronică.",1,1
